code,country,year,KOFCuGIdj,KOFInGIdj
ABW,Aruba,2015,,81
ABW,Aruba,2021,,81
ADO,Andorra,2015,73,91
ADO,Andorra,2021,77,91
AFG,Afghanistan,2015,16,47
AFG,Afghanistan,2021,16,51
AGO,Angola,2015,26,49
AGO,Angola,2021,29,46
ALB,Albania,2015,79,82
ALB,Albania,2021,78,87
ARE,United Arab Emirates,2015,57,66
ARE,United Arab Emirates,2021,57,84
ARG,Argentina,2015,81,79
ARG,Argentina,2021,84,84
ARM,Armenia,2015,76,79
ARM,Armenia,2021,75,82
ATG,Antigua and Barbuda,2015,64,83
ATG,Antigua and Barbuda,2021,76,88
AUS,Australia,2015,93,93
AUS,Australia,2021,94,95
AUT,Austria,2015,88,90
AUT,Austria,2021,91,91
AZE,Azerbaijan,2015,35,76
AZE,Azerbaijan,2021,38,81
BDI,Burundi,2015,43,31
BDI,Burundi,2021,35,32
BEL,Belgium,2015,88,92
BEL,Belgium,2021,92,92
BEN,Benin,2015,48,52
BEN,Benin,2021,47,56
BFA,Burkina Faso,2015,38,48
BFA,Burkina Faso,2021,44,52
BGD,Bangladesh,2015,60,51
BGD,Bangladesh,2021,54,57
BGR,Bulgaria,2015,80,82
BGR,Bulgaria,2021,83,85
BHR,Bahrain,2015,51,78
BHR,Bahrain,2021,44,65
BHS,"Bahamas, The",2015,76,85
BHS,"Bahamas, The",2021,89,87
BIH,Bosnia and Herzegovina,2015,,80
BIH,Bosnia and Herzegovina,2021,,82
BLR,Belarus,2015,46,72
BLR,Belarus,2021,36,79
BLZ,Belize,2015,76,74
BLZ,Belize,2021,85,70
BMU,Bermuda,2015,,96
BMU,Bermuda,2021,,96
BOL,Bolivia,2015,67,66
BOL,Bolivia,2021,75,71
BRA,Brazil,2015,68,80
BRA,Brazil,2021,68,82
BRB,Barbados,2015,82,91
BRB,Barbados,2021,78,92
BRN,Brunei Darussalam,2015,61,58
BRN,Brunei Darussalam,2021,64,74
BTN,Bhutan,2015,68,59
BTN,Bhutan,2021,69,65
BWA,Botswana,2015,71,61
BWA,Botswana,2021,75,65
CAF,Central African Republic,2015,15,34
CAF,Central African Republic,2021,16,38
CAN,Canada,2015,96,95
CAN,Canada,2021,94,95
CHE,Switzerland,2015,93,91
CHE,Switzerland,2021,93,91
CHL,Chile,2015,79,89
CHL,Chile,2021,83,93
CHN,China,2015,54,62
CHN,China,2021,56,68
CIV,Cote d'Ivoire,2015,34,52
CIV,Cote d'Ivoire,2021,39,60
CMR,Cameroon,2015,28,48
CMR,Cameroon,2021,29,55
COG,"Congo, Rep",2015,53,51
COG,"Congo, Rep",2021,36,47
COL,Colombia,2015,53,73
COL,Colombia,2021,60,75
COM,Comoros,2015,44,53
COM,Comoros,2021,61,58
CPV,Cabo Verde,2015,69,71
CPV,Cabo Verde,2021,73,77
CRI,Costa Rica,2015,78,89
CRI,Costa Rica,2021,80,92
CUB,Cuba,2015,25,65
CUB,Cuba,2021,33,71
CYM,Cayman Islands,2015,,73
CYM,Cayman Islands,2021,,73
CYP,Cyprus,2015,84,92
CYP,Cyprus,2021,83,95
CZE,Czech Republic,2015,95,83
CZE,Czech Republic,2021,96,84
DEU,Germany,2015,93,90
DEU,Germany,2021,97,89
DJI,Djibouti,2015,65,47
DJI,Djibouti,2021,34,54
DMA,Dominica,2015,81,70
DMA,Dominica,2021,75,72
DNK,Denmark,2015,88,83
DNK,Denmark,2021,94,84
DOM,Dominican Republic,2015,56,72
DOM,Dominican Republic,2021,65,76
DZA,Algeria,2015,42,74
DZA,Algeria,2021,47,82
ECU,Ecuador,2015,73,62
ECU,Ecuador,2021,75,64
EGY,"Egypt, Arab Rep",2015,58,71
EGY,"Egypt, Arab Rep",2021,55,79
ERI,Eritrea,2015,13,30
ERI,Eritrea,2021,12,40
ESP,Spain,2015,89,91
ESP,Spain,2021,90,93
EST,Estonia,2015,94,95
EST,Estonia,2021,95,96
ETH,Ethiopia,2015,20,38
ETH,Ethiopia,2021,21,39
FIN,Finland,2015,90,91
FIN,Finland,2021,92,91
FJI,Fiji,2015,59,60
FJI,Fiji,2021,62,68
FRA,France,2015,87,91
FRA,France,2021,83,92
FRO,Faroe Islands,2015,,95
FRO,Faroe Islands,2021,,96
FSM,"Micronesia, Fed Sts",2015,77,59
FSM,"Micronesia, Fed Sts",2021,89,59
GAB,Gabon,2015,52,54
GAB,Gabon,2021,56,59
GBR,United Kingdom,2015,94,93
GBR,United Kingdom,2021,94,94
GEO,Georgia,2015,73,79
GEO,Georgia,2021,74,83
GHA,Ghana,2015,71,62
GHA,Ghana,2021,76,67
GIN,Guinea,2015,28,44
GIN,Guinea,2021,31,50
GMB,"Gambia, The",2015,42,48
GMB,"Gambia, The",2021,53,50
GNB,Guinea-Bissau,2015,34,44
GNB,Guinea-Bissau,2021,43,51
GNQ,Equatorial Guinea,2015,34,41
GNQ,Equatorial Guinea,2021,30,48
GRC,Greece,2015,78,84
GRC,Greece,2021,85,89
GRD,Grenada,2015,64,72
GRD,Grenada,2021,73,74
GRL,Greenland,2015,,
GRL,Greenland,2021,,
GTM,Guatemala,2015,44,58
GTM,Guatemala,2021,48,63
GUM,Guam,2015,,82
GUM,Guam,2021,,83
GUY,Guyana,2015,60,72
GUY,Guyana,2021,62,79
HKG,"Hong Kong SAR, China",2015,90,88
HKG,"Hong Kong SAR, China",2021,94,90
HND,Honduras,2015,56,56
HND,Honduras,2021,61,60
HRV,Croatia,2015,87,83
HRV,Croatia,2021,89,86
HTI,Haiti,2015,36,50
HTI,Haiti,2021,37,54
HUN,Hungary,2015,85,87
HUN,Hungary,2021,79,89
IDN,Indonesia,2015,52,51
IDN,Indonesia,2021,50,54
IND,India,2015,66,55
IND,India,2021,59,60
IRL,Ireland,2015,87,93
IRL,Ireland,2021,89,94
IRN,"Iran, Islamic Rep",2015,54,72
IRN,"Iran, Islamic Rep",2021,54,80
IRQ,Iraq,2015,32,68
IRQ,Iraq,2021,33,78
ISL,Iceland,2015,89,89
ISL,Iceland,2021,91,89
ISR,Israel,2015,90,79
ISR,Israel,2021,85,79
ITA,Italy,2015,86,82
ITA,Italy,2021,83,86
JAM,Jamaica,2015,74,81
JAM,Jamaica,2021,68,84
JOR,Jordan,2015,59,76
JOR,Jordan,2021,60,82
JPN,Japan,2015,95,93
JPN,Japan,2021,95,92
KAZ,Kazakhstan,2015,70,76
KAZ,Kazakhstan,2021,66,80
KEN,Kenya,2015,58,49
KEN,Kenya,2021,52,53
KGZ,Kyrgyz Republic,2015,68,71
KGZ,Kyrgyz Republic,2021,70,81
KHM,Cambodia,2015,38,51
KHM,Cambodia,2021,43,60
KIR,Kiribati,2015,97,48
KIR,Kiribati,2021,99,52
KNA,St Kitts and Nevis,2015,86,86
KNA,St Kitts and Nevis,2021,75,86
KOR,"Korea, Rep",2015,88,86
KOR,"Korea, Rep",2021,88,90
KWT,Kuwait,2015,58,83
KWT,Kuwait,2021,58,85
LAO,Lao PDR,2015,31,49
LAO,Lao PDR,2021,34,62
LBN,Lebanon,2015,41,81
LBN,Lebanon,2021,43,85
LBR,Liberia,2015,37,44
LBR,Liberia,2021,50,49
LBY,Libya,2015,27,47
LBY,Libya,2021,26,49
LCA,St Lucia,2015,75,83
LCA,St Lucia,2021,98,86
LIE,Liechtenstein,2015,81,96
LIE,Liechtenstein,2021,95,95
LKA,Sri Lanka,2015,58,53
LKA,Sri Lanka,2021,69,62
LSO,Lesotho,2015,45,52
LSO,Lesotho,2021,44,56
LTU,Lithuania,2015,89,91
LTU,Lithuania,2021,86,95
LUX,Luxembourg,2015,92,99
LUX,Luxembourg,2021,88,98
LVA,Latvia,2015,83,90
LVA,Latvia,2021,86,93
MAC,"Macao SAR, China",2015,67,88
MAC,"Macao SAR, China",2021,70,90
MAR,Morocco,2015,41,78
MAR,Morocco,2021,41,85
MCO,Monaco,2015,,92
MCO,Monaco,2021,,91
MDA,Moldova,2015,77,75
MDA,Moldova,2021,78,80
MDG,Madagascar,2015,49,44
MDG,Madagascar,2021,52,47
MDV,Maldives,2015,48,74
MDV,Maldives,2021,62,77
MEX,Mexico,2015,70,71
MEX,Mexico,2021,69,75
MHL,Marshall Islands,2015,77,79
MHL,Marshall Islands,2021,74,84
MKD,North Macedonia,2015,73,81
MKD,North Macedonia,2021,70,83
MLI,Mali,2015,29,52
MLI,Mali,2021,26,58
MLT,Malta,2015,92,92
MLT,Malta,2021,92,95
MMR,Myanmar,2015,32,47
MMR,Myanmar,2021,30,54
MNE,Montenegro,2015,82,86
MNE,Montenegro,2021,73,88
MNG,Mongolia,2015,74,75
MNG,Mongolia,2021,76,86
MOZ,Mozambique,2015,32,47
MOZ,Mozambique,2021,30,50
MRT,Mauritania,2015,51,52
MRT,Mauritania,2021,50,58
MUS,Mauritius,2015,77,83
MUS,Mauritius,2021,78,88
MWI,Malawi,2015,57,43
MWI,Malawi,2021,63,49
MYS,Malaysia,2015,73,78
MYS,Malaysia,2021,74,82
NAM,Namibia,2015,57,58
NAM,Namibia,2021,61,62
NCL,New Caledonia,2015,,75
NCL,New Caledonia,2021,,76
NER,Niger,2015,25,41
NER,Niger,2021,28,47
NGA,Nigeria,2015,36,54
NGA,Nigeria,2021,51,59
NIC,Nicaragua,2015,62,57
NIC,Nicaragua,2021,51,62
NLD,Netherlands,2015,91,98
NLD,Netherlands,2021,93,98
NOR,Norway,2015,93,93
NOR,Norway,2021,95,93
NPL,Nepal,2015,55,52
NPL,Nepal,2021,42,59
NZL,New Zealand,2015,93,91
NZL,New Zealand,2021,95,92
OMN,Oman,2015,64,72
OMN,Oman,2021,51,77
PAK,Pakistan,2015,32,50
PAK,Pakistan,2021,32,53
PAN,Panama,2015,71,71
PAN,Panama,2021,77,76
PER,Peru,2015,73,68
PER,Peru,2021,66,72
PHL,Philippines,2015,61,65
PHL,Philippines,2021,59,68
PLW,Palau,2015,67,77
PLW,Palau,2021,78,76
PNG,Papua New Guinea,2015,49,50
PNG,Papua New Guinea,2021,53,54
POL,Poland,2015,94,87
POL,Poland,2021,84,88
PRI,Puerto Rico,2015,,89
PRI,Puerto Rico,2021,,92
PRK,"Korea, Dem People’s Rep",2015,39,
PRK,"Korea, Dem People’s Rep",2021,33,
PRT,Portugal,2015,67,93
PRT,Portugal,2021,72,95
PRY,Paraguay,2015,59,80
PRY,Paraguay,2021,62,75
PYF,French Polynesia,2015,,86
PYF,French Polynesia,2021,,87
QAT,Qatar,2015,68,67
QAT,Qatar,2021,73,80
ROM,Romania,2015,79,80
ROM,Romania,2021,83,86
RUS,Russian Federation,2015,67,65
RUS,Russian Federation,2021,61,70
RWA,Rwanda,2015,43,37
RWA,Rwanda,2021,39,42
SAU,Saudi Arabia,2015,54,74
SAU,Saudi Arabia,2021,52,81
SDN,Sudan,2015,19,46
SDN,Sudan,2021,24,47
SEN,Senegal,2015,63,57
SEN,Senegal,2021,57,63
SGP,Singapore,2015,72,76
SGP,Singapore,2021,78,79
SLB,Solomon Islands,2015,64,48
SLB,Solomon Islands,2021,79,52
SLE,Sierra Leone,2015,56,45
SLE,Sierra Leone,2021,57,47
SLV,El Salvador,2015,52,70
SLV,El Salvador,2021,51,76
SMR,San Marino,2015,91,83
SMR,San Marino,2021,87,85
SOM,Somalia,2015,6,32
SOM,Somalia,2021,7,33
SRB,Serbia,2015,85,84
SRB,Serbia,2021,82,86
STP,Sao Tome and Principe,2015,63,65
STP,Sao Tome and Principe,2021,67,68
SUR,Suriname,2015,85,75
SUR,Suriname,2021,75,79
SVK,Slovak Republic,2015,91,91
SVK,Slovak Republic,2021,94,93
SVN,Slovenia,2015,95,91
SVN,Slovenia,2021,89,94
SWE,Sweden,2015,97,91
SWE,Sweden,2021,96,91
SWZ,Eswatini,2015,36,49
SWZ,Eswatini,2021,33,54
SYC,Seychelles,2015,79,76
SYC,Seychelles,2021,87,81
SYR,Syrian Arab Republic,2015,38,63
SYR,Syrian Arab Republic,2021,39,67
TCD,Chad,2015,17,34
TCD,Chad,2021,18,39
TGO,Togo,2015,40,45
TGO,Togo,2021,42,53
THA,Thailand,2015,49,69
THA,Thailand,2021,60,77
TJK,Tajikistan,2015,57,62
TJK,Tajikistan,2021,55,69
TKM,Turkmenistan,2015,26,63
TKM,Turkmenistan,2021,25,70
TMP,Timor-Leste,2015,58,55
TMP,Timor-Leste,2021,60,59
TON,Tonga,2015,77,68
TON,Tonga,2021,65,72
TTO,Trinidad and Tobago,2015,72,80
TTO,Trinidad and Tobago,2021,74,85
TUN,Tunisia,2015,67,80
TUN,Tunisia,2021,65,83
TUR,Turkey,2015,58,75
TUR,Turkey,2021,46,79
TZA,Tanzania,2015,59,46
TZA,Tanzania,2021,48,50
UGA,Uganda,2015,57,43
UGA,Uganda,2021,59,45
UKR,Ukraine,2015,84,74
UKR,Ukraine,2021,83,82
URY,Uruguay,2015,75,87
URY,Uruguay,2021,81,90
USA,United States,2015,94,91
USA,United States,2021,88,94
UZB,Uzbekistan,2015,29,69
UZB,Uzbekistan,2021,32,79
VCT,St Vincent and the Grenadines,2015,84,76
VCT,St Vincent and the Grenadines,2021,85,79
VEN,"Venezuela, RB",2015,55,70
VEN,"Venezuela, RB",2021,51,73
VIR,Virgin Islands (US),2015,,63
VIR,Virgin Islands (US),2021,,64
VNM,Vietnam,2015,62,65
VNM,Vietnam,2021,60,72
VUT,Vanuatu,2015,67,59
VUT,Vanuatu,2021,70,65
WBG,West Bank and Gaza,2015,,69
WBG,West Bank and Gaza,2021,,71
WSM,Samoa,2015,81,68
WSM,Samoa,2021,83,77
YEM,"Yemen, Rep",2015,23,51
YEM,"Yemen, Rep",2021,28,52
ZAF,South Africa,2015,64,71
ZAF,South Africa,2021,72,77
ZAR,"Congo, Dem Rep",2015,35,36
ZAR,"Congo, Dem Rep",2021,26,47
ZMB,Zambia,2015,63,45
ZMB,Zambia,2021,69,49
ZWE,Zimbabwe,2015,46,48
ZWE,Zimbabwe,2021,62,49
WLD,World,2015,63,69
WLD,World,2021,64,73
EAS,East Asia and Pacific,2015,67,69
EAS,East Asia and Pacific,2021,69,73
ECS,Europe and Central Asia,2015,80,85
ECS,Europe and Central Asia,2021,79,87
LCN,Latin America and Caribbean,2015,67,74
LCN,Latin America and Caribbean,2021,69,77
MEA,Middle East and North Africa,2015,54,71
MEA,Middle East and North Africa,2021,52,76
NAC,North America,2015,95,94
NAC,North America,2021,91,95
SAS,South Asia,2015,50,55
SAS,South Asia,2021,50,61
SSF,Sub-Saharan Africa,2015,44,49
SSF,Sub-Saharan Africa,2021,46,53
HIC,High income,2015,82,86
HIC,High income,2021,83,88
LIC,Low income,2015,34,44
LIC,Low income,2021,35,48
LMC,Lower middle income,2015,55,58
LMC,Lower middle income,2021,56,63
UMC,Upper middle income,2015,62,72
UMC,Upper middle income,2021,63,76
