"","Final_country","Observed_indoor_richness","Observed_naturalized_richness","Projected_naturalized_richness_indoor_current","Projected_naturalized_richness_indoor_2C","Projected_naturalized_richness_indoor_4C","Projected_naturalized_richness_difference_2C","Projected_naturalized_richness_difference_4C","Projected_naturalized_richness_difference_warm_scen","Observed_harmful_indoor_richness","Observed_harmful_naturalized_richness","Projected_harmful_naturalized_richness_indoor_current","Projected_harmful_naturalized_richness_indoor_2C","Projected_harmful_naturalized_richness_indoor_4C","Projected_harmful_naturalized_richness_difference_2C","Projected_harmful_naturalized_richness_difference_4C","Projected_harmful_naturalized_richness_warm_scen","Observed_env_impact_indoor","Observed_env_impact_naturalized","Cumulative_env_SWIS_indoor_current","Cumulative_env_SWIS_indoor_2C","Cumulative_env_SWIS_indoor_4C","Projected_env_SWIS_difference_2C","Projected_env_SWIS_difference_4C","Projected_env_SWIS_difference_warm_scen","Observed_soc_impact_indoor","Observed_soc_impact_naturalized","Cumulative_soc_SWIS_indoor_current","Cumulative_soc_SWIS_indoor_2C","Cumulative_soc_SWIS_indoor_4C","Projected_soc_SWIS_difference_2C","Projected_soc_SWIS_difference_4C","Projected_soc_SWIS_difference_warm_scen","threat","IAS_list","Existing_mgmt","research","outreach"
"88","Kyrgyzstan",1,1,0.000387071130812156,0.000528152813909881,0.0011558637456096,0.000141081683097724,0.000768792614797446,0.000627710931699722,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"89","Laos",0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0
"90","Latvia",1,0,0.00213241586972238,0.00294458565539545,0.00788286749272125,0.000812169785673078,0.00575045162299888,0.0049382818373258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0
"91","Lebanon",0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0.5,0.5,0,0
"92","Lesotho",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0
"93","Liberia",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
"94","Libya",0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0
"95","Lithuania",1,0,0.00262886712665833,0.00342424353320966,0.00861754949703868,0.00079537640655133,0.00598868237038035,0.00519330596382902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"96","Luxembourg",2,0,0.722593649304664,0.770829197865254,0.863283063515902,0.0482355485605902,0.140689414211238,0.0924538656506475,1,0,0.714086094846813,0.760236843682924,0.845799259228667,0.0461507488361106,0.0461507488361106,0,0,0,0,0,0,0,0,0,4,0,2.85634437938725,3.0409473747317,3.38319703691467,0.184602995344442,0.526852657527417,0.342249662182974,0,0,0.5,0,0
"97","Macao",0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA
"98","Madagascar",0,46,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,1,0.5,0,0
"99","Malawi",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0.5,1,1
"100","Malaysia",1,14,0.90244345940982,0.916095435961116,0.939152398390877,0.0136519765512968,0.0367089389810579,0.0230569624297611,1,5,0.90244345940982,0.916095435961116,0.939152398390877,0.0136519765512968,0.0136519765512968,0,14,34,12.6342084317375,12.8253361034556,13.1481335774723,0.191127671718155,0.51392514573481,0.322797474016655,6,23,5.41466075645892,5.4965726157667,5.63491439034526,0.0819118593077808,0.220253633886347,0.138341774578566,1,0,0,0,1
"101","Maldives",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0
"102","Mali",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
"103","Malta",0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0.5,1,0
"104","Marshall Is.",0,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,38,0,0,0,0,0,0,NA,NA,NA,NA,NA
"105","Mexico",1,41,0.0686463040158113,0.0782222080334033,0.104831407697728,0.021793580741858,0.0815145531525415,0.0597209724106835,0,16,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,1,0.5,1,1
"106","Micronesia",0,39,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,1,0.5,1,1
"107","Moldova",1,0,0.00329243513221339,0.00430543138031758,0.00844895624191545,0.00101299624810419,0.00515652110970206,0.00414352486159787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"108","Montenegro",1,2,0.048669166148211,0.0670577736035151,0.104001014105691,0.018388607455304,0.0553318479574804,0.0369432405021764,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0.5,0,1,0
"109","Morocco",0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0
"110","Mozambique",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.5,0.5,0,0
"111","Myanmar",0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,0,0,0
"112","Namibia",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0
"113","Nepal",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0.5,0,0,0
"114","Netherlands",14,10,8.53656081187041,8.88077804697635,9.69874595474927,0.344217235105937,1.16218514287886,0.817967907772922,4,4,2.54914115626566,2.67261455802434,2.95057185897903,0.123473401758674,0.123473401758674,0,19,18,12.0537180454824,12.6420293756847,13.9666673864319,0.588311330202298,1.91294934094952,1.32463801074722,2,12,0.584842642799393,0.647770607572732,0.819631269583048,0.0629279647733393,0.234788626783655,0.171860662010316,1,1,0.5,1,0
"115","New Caledonia",0,37,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,47,0,0,0,0,0,0,NA,NA,NA,NA,NA
"116","New Zealand",0,43,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,1
"117","Nicaragua",0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0
"118","Niger",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0.5,0,0
"119","Nigeria",0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0.5,0,0
"120","Niue",0,22,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0.5,0.5,1,0
"121","Norfolk Island",0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA
"122","North Macedonia",1,0,0.00716831100693266,0.0104346113755709,0.0162448928020565,0.0032663003686382,0.00907658179512386,0.00581028142648566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Norway",18,0,2.41962343158116,2.85996793262592,4.3861924766576,0.440344501044756,1.96656904507644,1.52622454403168,4,0,0.581786059058734,0.73587583528851,1.21771636493182,0.154089776229776,0.154089776229776,0,23,0,2.57649124969438,3.2515166328794,5.51925591422864,0.675025383185014,2.94276466453425,2.26773928134924,12,0,1.71927584356649,2.22443495358534,3.83249859630722,0.50515911001885,2.11322275274073,1.60806364272188,1,1,1,1,0
"124","Oman",0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0.5,0,0
"125","Pakistan",0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0
"126","Palau",0,21,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0
"127","Panama",0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0.5,0,0
"128","Papua New Guinea",0,38,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
"129","Paraguay",0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,11,0,0,0,0,0,0,NA,NA,NA,NA,NA
"130","Peru",0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,1,0.5,1,0
"131","Philippines",1,25,0.880802157065812,0.89751426592163,0.924420811286158,0.0167121088558176,0.0436186542203453,0.0269065453645276,1,6,0.880802157065812,0.89751426592163,0.924420811286158,0.0167121088558176,0.0167121088558176,0,14,34,12.3312301989214,12.5651997229028,12.9418913580062,0.233969523981447,0.610661159084834,0.376691635103387,6,27,5.28481294239487,5.38508559552978,5.54652486771695,0.100272653134906,0.261711925322072,0.161439272187166,1,1,0,0,0
"132","Pitcairn Is.",0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,10,0,0,0,0,0,0,NA,NA,NA,NA,NA
"133","Poland",6,1,1.08980059822485,1.36310667870857,2.1156586980028,0.273306080483719,1.02585809977795,0.752552019294228,2,1,0.510633848816716,0.631301581388768,0.947661321922602,0.120667732572051,0.120667732572051,0,14,4,2.16740224840805,2.7194603700506,4.40498548889476,0.552058121642548,2.23758324048671,1.68552511884416,10,0,2.35216428789659,2.91370066413373,4.41992892896109,0.561536376237141,2.0677646410645,1.50622826482736,1,1,0.5,1,1
"134","Portugal",0,22,0,0,0,0.00725347054315125,0.0199096121373354,0.0126561415941842,0,8,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0.5,1,1
"135","Puerto Rico",0,32,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,50,0,0,0,0,0,0,NA,NA,NA,NA,NA
"136","Qatar",0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0.5,0,0,0
"137","Republic of Korea",2,8,0.25490775245072,0.301232348455583,0.418629506118865,0.0463245960048629,0.163721753668144,0.117397157663281,1,3,0.22475731233617,0.262427186643058,0.355973766609741,0.0376698743068887,0.0376698743068887,0,5,23,1.12378656168085,1.31213593321529,1.77986883304871,0.188349371534443,0.656082271367857,0.467732899833414,2,6,0.449514624672339,0.524854373286117,0.711947533219482,0.0753397486137773,0.262432908547143,0.187093159933366,NA,NA,NA,NA,NA
"138","Republic of the Congo",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0.5,0,0,0
"139","Romania",3,1,0.388898463781769,0.470663922623924,0.66955289083188,0.0817654588421557,0.280654427050111,0.198888968207955,2,1,0.386966950590917,0.468110258736739,0.664826893533494,0.0811433081458221,0.0811433081458221,0,5,4,0.243748343755909,0.297140950161777,0.455786406535147,0.0533926064058681,0.212038062779238,0.15864545637337,6,0,1.4503684648613,1.75358465488224,2.47699301151992,0.303216190020941,1.02662454665861,0.723408356637673,1,0.5,0,0,0
"140","Russia",5,4,0.11335868746536,0.151324483710521,0.299788525271668,0.0379657962451619,0.186429837806309,0.148464041561147,3,2,0.0700109007119953,0.0960047788924109,0.198043637119845,0.0259938781804155,0.0259938781804155,0,10,13,0.0162096775210872,0.0244006206099551,0.0576008299516923,0.00819094308886783,0.0413911524306051,0.0332002093417372,11,6,0.277458776107135,0.380465365363529,0.785476944103691,0.103006589256394,0.508018167996556,0.405011578740162,1,1,0,1,0
"141","Saint Helena",0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,23,0,0,0,0,0,0,NA,NA,NA,NA,NA
"142","Saudi Arabia",1,33,0.06055016804175,0.0863942171612303,0.135718367866883,0.0258440491194804,0.0751681998251327,0.0493241507056523,0,10,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,1,0.5,0,0
"143","Senegal",0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0.5,0.5,1,0
"144","Seychelles",0,45,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,1,0,0
"145","Sierra Leone",0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,26,0,0,0,0,0,0,NA,NA,NA,NA,NA
"146","Slovakia",3,0,0.589496846705094,0.724348197693912,0.993913525827364,0.134851350988818,0.40441667912227,0.269565328133451,1,0,0.473654890212114,0.570854711499807,0.739125862328242,0.0971998212876931,0.0971998212876931,0,0,0,0,0,0,0,0,0,4,0,1.89461956084846,2.28341884599923,2.95650344931297,0.388799285150772,1.06188388846451,0.673084603313741,1,1,0,0,0
"147","Slovenia",1,2,0.00694057008783984,0.0094567288125354,0.0166272523327803,0.00251615872469556,0.00968668224494049,0.00717052352024493,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"148","Solomon Is.",0,34,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,53,0,0,0,0,0,0,NA,NA,NA,NA,NA
"149","Somalia",0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0.5,0,0,0
"150","South Africa",0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,1,1,1,1
"151","Spain",1,46,0.94646488101991,0.949981086837492,0.955913368421211,0.0526734441062823,0.136037781394913,0.0833643372886311,0,13,0,0,0,0.0416104664367727,0.0416104664367727,0,0,83,0,0,0,0.208052332183864,0.530867437606667,0.322815105422803,0,49,0,0,0,0.0832209328735455,0.212346975042667,0.129126042169121,1,1,0.5,1,1
"152","Sri Lanka",0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0.5,0,0
"153","Suriname",0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0.5,0.5,0,0
"154","Sweden",7,0,0.514310377484509,0.702740557190957,1.42782859896677,0.188430179706449,0.913518221482263,0.725088041775815,5,0,0.419825834498538,0.577746211126944,1.18568657403167,0.157920376628406,0.157920376628406,0,29,0,2.02834277668393,2.75873931274258,5.70775791663475,0.730396536058655,3.67941513995083,2.94901860389217,17,0,1.45211158576152,1.99304010810553,4.05967985003258,0.540928522344012,2.60756826427106,2.06663974192705,1,0.5,0.5,1,0
"155","Switzerland",16,3,5.73149957425704,6.71664229148143,8.45521039518536,0.985142717224388,2.72371082092831,1.73856810370393,6,1,2.53156618034098,2.94872620209987,3.62062950918824,0.417160021758899,0.417160021758899,0,34,4,13.0979991939867,15.4949639354079,19.4991949176388,2.39696474142125,6.40119572365218,4.00423098223093,17,0,6.91073263885583,8.04715996900863,9.9346330251317,1.1364273301528,3.02390038627588,1.88747305612307,1,1,0,1,1
"156","Syria",0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
"157","Taiwan",1,25,0.0943714191696759,0.107010651313554,0.149807094051766,0.0126392321438784,0.0554356748820904,0.042796442738212,0,9,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,52,0,0,0,0,0,0,NA,NA,NA,NA,NA
"158","Tanzania",0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,1,0.5,0,0
"159","Thailand",0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,1,0,0,0
"160","Togo",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.5,0,0,0
"161","Tokelau",0,20,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,25,0,0,0,0,0,0,NA,NA,NA,NA,NA
"162","Tonga",0,29,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0.5,0.5,1,0
"163","Trinidad and Tobago",0,24,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,1,0.5,0,0
"164","Tunisia",0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0.5,0.5,1,0
"165","Turkey",1,21,0.0254297648625539,0.0366366167703066,0.05674642083583,0.0112068519077527,0.0313166559732761,0.0201098040655234,0,11,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0.5,0,0,0
"166","Turkmenistan",1,1,0.0122184808721787,0.0140598491703151,0.0221426556943022,0.00184136829813639,0.00992417482212351,0.00808280652398712,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0.5,1,0
"167","Turks and Caicos Is.",0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,37,0,0,0,0,0,0,NA,NA,NA,NA,NA
"168","Tuvalu",0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0.5,0.5,0,0
"169","U.S. Minor Outlying Is.",0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,19,0,0,0,0,0,0,NA,NA,NA,NA,NA
"170","Ukraine",4,3,0.263826474066216,0.328127375275392,0.583325467122992,0.0643009012091756,0.319498993056776,0.2551980918476,2,1,0.237983644371916,0.294107209160673,0.507580071581065,0.0561235647887563,0.0561235647887563,0,5,4,0.155424654046488,0.187497686916578,0.324670684849161,0.0320730328700896,0.169246030802673,0.137172997932583,6,0,0.88976471586907,1.10142976187606,1.9004520123846,0.211665046006989,1.01068729651553,0.799022250508537,1,1,0.5,1,0
"171","United Arab Emirates",0,27,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,1,0.5,1,0
"172","United Kingdom",53,8,38.9397733271895,40.1049577226324,42.6675537355758,1.1651843954429,3.72778040838635,2.56259601294345,9,5,5.80959258687097,6.05119763717389,6.60013658047782,0.241605050302927,0.241605050302927,0,65,27,40.7566330706418,42.5676303340401,46.7271376180824,1.81099726339832,5.97050454744057,4.15950728404225,38,10,23.375853379388,24.4206246007578,26.8471621284304,1.04477122136987,3.47130874904247,2.42653752767259,1,1,1,1,1
"173","United States",4,121,0.0826866322508097,0.0974472608777119,0.164350732810184,0.405519082203064,1.6266953937461,1.22117631154304,0,24,0,0,0,0.325160310993439,0.325160310993439,0,0,222,0,0,0,1.67538619092001,6.56765267962257,4.89226648870256,0,131,0,0,0,1.08415466270171,4.27757698009586,3.19342231739416,1,1,1,1,1
"174","Uruguay",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0
"175","Uzbekistan",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"176","Vanuatu",0,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,44,0,0,0,0,0,0,NA,NA,NA,NA,NA
"177","Venezuela",0,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,1,0.5,1,0
"178","Vietnam",1,14,0.738588784970899,0.763022689578084,0.81879114742965,0.0244339046071853,0.0802023624587512,0.0557684578515659,1,5,0.738588784970899,0.763022689578084,0.81879114742965,0.0244339046071853,0.0244339046071853,0,14,34,10.3402429895926,10.6823176540932,11.4630760640151,0.342074664500594,1.12283307442252,0.780758409921923,6,23,4.43153270982539,4.5781361374685,4.9127468845779,0.146603427643112,0.481214174752507,0.334610747109396,1,0.5,0,1,0
"179","Wallis and Futuna Is.",0,21,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,39,0,0,0,0,0,0,NA,NA,NA,NA,NA
"180","Yemen",0,35,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0.5,0,1
"181","Zimbabwe",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0.5,0,0
